 t	 a	 b	 c	 d
8.2992 0.9995 -0.8669 0.9903 0.6559
8.3192 0.9994 -0.8435 0.9880 0.6197
8.3391 0.9992 -0.8176 0.9856 0.5829
8.3590 0.9990 -0.7892 0.9834 0.5456
8.3790 0.9988 -0.7585 0.9814 0.5081
8.3989 0.9986 -0.7255 0.9796 0.4706
8.4189 0.9984 -0.6903 0.9781 0.4335
8.4388 0.9983 -0.6531 0.9769 0.3969
8.4588 0.9981 -0.6140 0.9760 0.3612
8.4787 0.9980 -0.5730 0.9754 0.3265
8.4987 0.9978 -0.5303 0.9750 0.2932
8.5187 0.9978 -0.4859 0.9748 0.2613
8.5386 0.9977 -0.4401 0.9748 0.2311
8.5585 0.9976 -0.3929 0.9749 0.2028
8.5785 0.9976 -0.3446 0.9751 0.1763
8.5984 0.9976 -0.2951 0.9753 0.1520
8.6184 0.9975 -0.2448 0.9755 0.1299
8.6383 0.9975 -0.1936 0.9757 0.1101
8.6583 0.9975 -0.1419 0.9759 0.0929
8.6783 0.9974 -0.0897 0.9761 0.0783
8.6982 0.9974 -0.0372 0.9764 0.0665
8.7181 0.9973 0.0155 0.9767 0.0576
8.7381 0.9972 0.0682 0.9772 0.0517
8.7580 0.9972 0.1207 0.9778 0.0487
8.7780 0.9971 0.1730 0.9787 0.0487
8.7980 0.9970 0.2249 0.9797 0.0517
8.8179 0.9969 0.2762 0.9810 0.0575
8.8378 0.9969 0.3267 0.9826 0.0662
8.8578 0.9969 0.3764 0.9844 0.0776
8.8777 0.9968 0.4250 0.9863 0.0917
8.8977 0.9969 0.4725 0.9884 0.1084
8.9177 0.9970 0.5186 0.9905 0.1277
8.9376 0.9971 0.5633 0.9926 0.1494
8.9575 0.9972 0.6064 0.9945 0.1735
8.9775 0.9974 0.6478 0.9962 0.1998
8.9974 0.9976 0.6874 0.9976 0.2282
9.0174 0.9979 0.7250 0.9985 0.2585
9.0373 0.9981 0.7606 0.9989 0.2904
9.0573 0.9984 0.7941 0.9988 0.3238
9.0772 0.9987 0.8253 0.9981 0.3583
9.0972 0.9989 0.8542 0.9967 0.3939
9.1172 0.9992 0.8806 0.9948 0.4302
9.1371 0.9994 0.9046 0.9924 0.4670
9.1570 0.9995 0.9260 0.9895 0.5041
9.1770 0.9996 0.9447 0.9863 0.5414
9.1969 0.9997 0.9608 0.9829 0.5787
9.2169 0.9997 0.9741 0.9793 0.6156
9.2369 0.9996 0.9847 0.9758 0.6520
9.2568 0.9995 0.9925 0.9725 0.6876
9.2767 0.9993 0.9975 0.9694 0.7223
9.2967 0.9991 0.9996 0.9668 0.7556
9.3166 0.9989 0.9990 0.9647 0.7875
9.3366 0.9986 0.9955 0.9632 0.8177
9.3565 0.9983 0.9891 0.9623 0.8461
9.3765 0.9980 0.9799 0.9621 0.8724
9.3964 0.9977 0.9680 0.9625 0.8966
9.4164 0.9974 0.9533 0.9634 0.9184
9.4363 0.9972 0.9358 0.9649 0.9379
9.4563 0.9970 0.9157 0.9669 0.9549
9.4763 0.9968 0.8930 0.9692 0.9694
9.4962 0.9967 0.8678 0.9718 0.9811
9.5161 0.9966 0.8401 0.9745 0.9900
9.5361 0.9966 0.8101 0.9772 0.9960
9.5560 0.9966 0.7777 0.9799 0.9991
9.5760 0.9966 0.7432 0.9825 0.9992
9.5959 0.9967 0.7065 0.9849 0.9963
9.6159 0.9968 0.6679 0.9870 0.9904
9.6358 0.9969 0.6274 0.9889 0.9817
9.6558 0.9971 0.5851 0.9905 0.9701
9.6758 0.9972 0.5412 0.9919 0.9557
9.6957 0.9973 0.4958 0.9931 0.9388
9.7157 0.9975 0.4490 0.9940 0.9193
9.7356 0.9976 0.4010 0.9948 0.8973
9.7555 0.9977 0.3518 0.9955 0.8731
9.7755 0.9978 0.3017 0.9960 0.8466
9.7954 0.9979 0.2509 0.9965 0.8182
9.8154 0.9980 0.1993 0.9969 0.7878
9.8354 0.9980 0.1472 0.9972 0.7559
9.8553 0.9981 0.0948 0.9973 0.7224
9.8752 0.9982 0.0421 0.9974 0.6878
9.8952 0.9982 -0.0107 0.9973 0.6522
9.9152 0.9983 -0.0634 0.9970 0.6159
9.9351 0.9984 -0.1158 0.9964 0.5791
9.9550 0.9985 -0.1678 0.9956 0.5420
9.9750 0.9987 -0.2193 0.9944 0.5048
9.9949 0.9988 -0.2701 0.9928 0.4677
10.0149 0.9989 -0.3200 0.9909 0.4308
