t,ex,red,th
0.804,-0.002199365862197699,-0.0018712986980477892,-0.0018712986980477812
0.8069999999999999,-0.0022940448726969844,-0.0019118482334362617,-0.0019118482334362524
0.81,-0.0023866224457897503,-0.001950677234460526,-0.0019506772344605175
0.813,-0.0024770183288296242,-0.0019877507576405388,-0.0019877507576405275
0.8160000000000001,-0.0025651534882562676,-0.002023035439307826,-0.002023035439307816
0.819,-0.0026509505126318163,-0.002056499525630532,-0.0020564995256305207
0.8220000000000001,-0.0027343340191140824,-0.0020881129011897244,-0.002088112901189714
0.825,-0.002815231059234778,-0.0021178471160812383,-0.002117847116081227
0.8280000000000001,-0.0028935715197796214,-0.002145675411518671,-0.0021456754115186604
0.831,-0.0029692885145389454,-0.002171572743914482,-0.002171572743914471
0.8340000000000001,-0.0030423187627144936,-0.0021955158074175333,-0.0021955158074175207
0.837,-0.0031126029498325667,-0.0022174830548867797,-0.0022174830548867676
0.8400000000000001,-0.0031800860671268505,-0.002237454717282244,-0.002237454717282231
0.843,-0.0032447177255171687,-0.0022554128214558166,-0.002255412821455803
0.846,-0.003306452440523282,-0.0022713412063258775,-0.0022713412063258636
0.849,-0.0033652498847154735,-0.002285225537421177,-0.0022852255374211632
0.852,-0.003421075104614698,-0.002297053319780894,-0.0022970533197808796
0.855,-0.0034738986993127865,-0.0023068139091992554,-0.0023068139091992415
0.858,-0.0035236969584848165,-0.0023144985218046055,-0.002314498521804591
0.861,-0.0035704519579076504,-0.002320100241964295,-0.0023201002419642796
0.864,-0.0036141516110764424,-0.002323614028508284,-0.0023236140285082694
0.867,-0.003654789676019357,-0.002325036719265858,-0.002325036719265843
0.87,-0.003692365716943811,-0.002324367033911363,-0.0023243670339113476
0.873,-0.0037268850208985634,-0.0023216055751164155,-0.0023216055751164007
0.876,-0.003758358470197466,-0.0023167548280075387,-0.0023167548280075235
0.879,-0.0037868023719149304,-0.0023098191579297143,-0.002309819157929699
0.882,-0.003812238246321684,-0.0023008048065178695,-0.0023008048065178543
0.885,-0.003834692576673843,-0.002289719886079824,-0.0022897198860798076
0.888,-0.0038541965232897902,-0.002276574372295762,-0.0022765743722957467
0.891,-0.0038707856053394295,-0.002261380095240794,-0.0022613800952407783
0.894,-0.003884499354220484,-0.0022441507287386865,-0.0022441507287386713
0.897,-0.003895380942798645,-0.002224901778056344,-0.002224901778056328
0.8999999999999999,-0.0039034767951350293,-0.002203650565950115,-0.0022036505659501
0.903,-0.00390883618160883,-0.0021804162170764823,-0.0021804162170764663
0.9059999999999999,-0.0039115108045591675,-0.0021552196407811602,-0.002155219640781145
0.909,-0.003911554379713333,-0.0021280835122820967,-0.0021280835122820816
0.9119999999999999,-0.003909022218734681,-0.0020990322522633073,-0.002099032252263291
0.915,-0.003903970818210306,-0.0020680920048979073,-0.0020680920048978917
0.9179999999999999,-0.0038964574603047135,-0.0020352906143201216,-0.0020352906143201064
0.921,-0.003886539830131405,-0.0020006575995674424,-0.0020006575995674264
0.9239999999999999,-0.0038742756546412283,-0.00196422412801549,-0.0019642241280154746
0.9269999999999999,-0.0038597223674974018,-0.001926022987329474,-0.0019260229873294598
0.9299999999999999,-0.0038429368040069373,-0.0018860885559575133,-0.0018860885559574977
0.9329999999999999,-0.0038239749297124363,-0.001844456772192349,-0.0018444567721923346
0.9359999999999999,-0.003802891605724012,-0.0018011651018293088,-0.0018011651018292956
0.939,-0.0037797403932966827,-0.0017562525044496195,-0.0017562525044496047
0.942,-0.0037545733995430746,-0.0017097593983594129,-0.0017097593983593997
0.945,-0.0037274411655249923,-0.0016617276242159801,-0.0016617276242159682
0.948,-0.003698392597300935,-0.0016122004073740026,-0.0016122004073739892
0.951,-0.0036674749398313018,-0.0015612223189856514,-0.0015612223189856395
0.954,-0.0036347337929704534,-0.0015088392358895582,-0.0015088392358895445
0.957,-0.003600213168116366,-0.0014550982993247574,-0.0014550982993247455
0.96,-0.0035639555834559677,-0.001400047872506753,-0.0014000478725067391
0.963,-0.003526002195148205,-0.001343737497103889,-0.00134373749710388
0.966,-0.0034863929612380558,-0.0012862178486531916,-0.0012862178486531808
0.969,-0.0034451668346024544,-0.0012275406909558065,-0.0012275406909557972
0.972,-0.0034023619808022645,-0.001167758829493072,-0.0011677588294930611
0.975,-0.003358016016360167,-0.00110692606390515,-0.001106926063905141
0.978,-0.003312166262708978,-0.0010450971395749814,-0.0010450971395749701
