t,r0,r1,r2,r3,r4,c0,c1,c2,c3,c4
6.0600000000000005,0.02065882064524439,0.015934105626207794,0.01093612996940373,0.005829461755524438,0.006764279456252903,0.020658820645244387,0.015934105626207788,0.01093612996940373,0.005829461755524462,0.0067642794562529154
6.07,0.020657819763603445,0.01592374331956667,0.01092385888586765,0.005831393588901259,0.006766145396634319,0.020657819763603442,0.015923743319566662,0.01092385888586765,0.005831393588901283,0.006766145396634331
6.08,0.020656816839259257,0.01591338667739202,0.010911612650933709,0.005833328129212685,0.006768004868043257,0.020656816839259254,0.015913386677392012,0.010911612650933709,0.005833328129212708,0.006768004868043269
6.09,0.020655811874912833,0.015903035718585524,0.010899391224755245,0.005835265317247834,0.006769857893290697,0.02065581187491283,0.015903035718585517,0.010899391224755245,0.0058352653172478565,0.00676985789329071
6.1000000000000005,0.020654804873262284,0.015892690461909238,0.010887194567462918,0.0058372050943637606,0.006771704495128364,0.02065480487326228,0.01589269046190923,0.010887194567462918,0.005837205094363785,0.0067717044951283775
6.11,0.02065379583700281,0.01588235092598634,0.010875022639165705,0.005839147402480589,0.006773544696248317,0.020653795837002806,0.015882350925986333,0.010875022639165705,0.005839147402480613,0.006773544696248332
6.12,0.020652784768826683,0.015872017129301873,0.010862875399951915,0.005841092184076678,0.006775378519282572,0.02065278476882668,0.015872017129301867,0.010862875399951915,0.005841092184076702,0.006775378519282587
6.13,0.020651771671423305,0.015861689090203492,0.010850752809890148,0.005843039382183844,0.0067772059868027226,0.0206517716714233,0.015861689090203485,0.010850752809890148,0.005843039382183867,0.006777205986802738
6.140000000000001,0.020650756547479162,0.01585136682690218,0.010838654829030294,0.005844988940382607,0.00677902712131958,0.02065075654747916,0.015851366826902174,0.010838654829030294,0.00584498894038263,0.006779027121319595
6.15,0.020649739399677843,0.015841050357472988,0.010826581417404463,0.0058469408027974935,0.006780841945282815,0.02064973939967784,0.01584105035747298,0.010826581417404463,0.005846940802797516,0.006780841945282829
6.16,0.02064872023070005,0.015830739699855757,0.010814532535027963,0.005848894914092366,0.006782650481080632,0.020648720230700048,0.01583073969985575,0.010814532535027963,0.005848894914092388,0.006782650481080645
6.17,0.0206476990432236,0.015820434871855835,0.010802508141900225,0.005850851219465803,0.00678445275103944,0.020647699043223597,0.01582043487185583,0.010802508141900225,0.005850851219465824,0.006784452751039453
6.18,0.020646675839923412,0.015810135891144807,0.010790508198005734,0.005852809664646509,0.006786248777423544,0.02064667583992341,0.0158101358911448,0.010790508198005734,0.005852809664646529,0.006786248777423558
