t,e,b,l
1.6889999999999998,0.01877960592599321,0.1317564679718993,0.011208221656892938
1.692,0.018686953920648085,0.1312829974454961,0.011167944601127714
1.695,0.01859491243334363,0.13081122834857725,0.011127812282080832
1.698,0.01850347316290101,0.13034115456700884,0.011087824179636887
1.7009999999999998,0.018412626121292457,0.12987277000862796,0.011047979775549504
1.704,0.018322359786752562,0.1294060686031642,0.011008278553434647
1.707,0.01823266131197142,0.12894104430216075,0.010968719998763919
1.71,0.01814351677536548,0.12847769107889626,0.010929303598857907
1.7129999999999999,0.018054911461106674,0.12801600292830645,0.010890028842879512
1.716,0.017966830152674598,0.1275559738669064,0.010850895221827344
1.719,0.017879257425183898,0.12709759793271297,0.010811902228529126
1.722,0.017792177923431605,0.12664086918516776,0.010773049357635124
1.7249999999999999,0.017705576615150497,0.12618578170505979,0.01073433610561159
1.728,0.017619439011925295,0.12573232959444888,0.010695761970734229
1.731,0.017533751353211648,0.12528050697658935,0.01065732645308171
1.734,0.01744850075157106,0.12483030799585379,0.010619029054529196
1.7369999999999999,0.017363675299384707,0.12438172681765708,0.010580869278741861
1.74,0.017279264138863333,0.12393475762838088,0.010542846631168477
1.743,0.01719525749816782,0.12348939463529818,0.010504960619034992
1.746,0.017111646697035538,0.12304563206649848,0.010467210751338175
1.7489999999999999,0.017028424125648693,0.12260346417081258,0.0104295965388392
1.752,0.016945583200769408,0.12216288521773841,0.01039211749405735
1.7550000000000001,0.016863118303544262,0.12172388949736648,0.010354773131263673
1.758,0.01678102470391083,0.12128647132030625,0.010317562966474719
1.761,0.0166992984771846,0.12085062501761196,0.010280486517446221
1.764,0.01661793641902861,0.12041634494070941,0.010243543303666884
1.767,0.016536935965397265,0.11998362546132273,0.010206732846352139
1.77,0.016456295123962652,0.11955246097140138,0.01017005466843794
1.773,0.016376012422767823,0.1191228458830476,0.010133508294574597
1.776,0.01629608688030629,0.11869477462844383,0.01009709325112059
1.779,0.01621651799894363,0.11826824165978057,0.010060809066136442
1.782,0.0161373057807902,0.11784324144918455,0.010024655269378605
1.785,0.01605845076216135,0.1174197684886472,0.009988631392293378
